date,hour,member_casual,rideable_type,count
2024-04-28,15,member,classic_bike,2888
2024-04-28,15,member,electric_bike,4676
2024-04-28,16,casual,classic_bike,1409
2024-04-28,16,casual,electric_bike,2685
2024-04-28,16,member,classic_bike,2936
2024-04-28,16,member,electric_bike,4947
2024-04-28,17,casual,classic_bike,1100
2024-04-28,17,casual,electric_bike,2333
2024-04-28,17,member,classic_bike,2781
2024-04-28,17,member,electric_bike,4893
2024-04-28,18,casual,classic_bike,964
2024-04-28,18,casual,electric_bike,2086
2024-04-28,18,member,classic_bike,2513
2024-04-28,18,member,electric_bike,4508
2024-04-28,19,casual,classic_bike,710
2024-04-28,19,casual,electric_bike,1610
2024-04-28,19,member,classic_bike,1956
2024-04-28,19,member,electric_bike,3841
2024-04-28,20,casual,classic_bike,348
2024-04-28,20,casual,electric_bike,993
2024-04-28,20,member,classic_bike,1324
2024-04-28,20,member,electric_bike,2880
2024-04-28,21,casual,classic_bike,163
2024-04-28,21,casual,electric_bike,563
2024-04-28,21,member,classic_bike,707
2024-04-28,21,member,electric_bike,1833
2024-04-28,22,casual,classic_bike,128
2024-04-28,22,casual,electric_bike,536
2024-04-28,22,member,classic_bike,507
2024-04-28,22,member,electric_bike,1465
2024-04-28,23,casual,classic_bike,75
2024-04-28,23,casual,electric_bike,401
2024-04-28,23,member,classic_bike,365
2024-04-28,23,member,electric_bike,1022
2024-04-29,0,casual,classic_bike,53
2024-04-29,0,casual,electric_bike,206
2024-04-29,0,member,classic_bike,199
2024-04-29,0,member,electric_bike,536
2024-04-29,1,casual,classic_bike,43
2024-04-29,1,casual,electric_bike,152
2024-04-29,1,member,classic_bike,106
2024-04-29,1,member,electric_bike,297
2024-04-29,2,casual,classic_bike,10
2024-04-29,2,casual,electric_bike,65
2024-04-29,2,member,classic_bike,60
2024-04-29,2,member,electric_bike,177
2024-04-29,3,casual,classic_bike,3
2024-04-29,3,casual,electric_bike,55
2024-04-29,3,member,classic_bike,40
2024-04-29,3,member,electric_bike,114
2024-04-29,4,casual,classic_bike,15
2024-04-29,4,casual,electric_bike,60
2024-04-29,4,member,classic_bike,90
2024-04-29,4,member,electric_bike,151
2024-04-29,5,casual,classic_bike,20
2024-04-29,5,casual,electric_bike,98
2024-04-29,5,member,classic_bike,292
2024-04-29,5,member,electric_bike,602
2024-04-29,6,casual,classic_bike,62
2024-04-29,6,casual,electric_bike,225
2024-04-29,6,member,classic_bike,846
2024-04-29,6,member,electric_bike,1736
2024-04-29,7,casual,classic_bike,129
2024-04-29,7,casual,electric_bike,444
2024-04-29,7,member,classic_bike,1766
2024-04-29,7,member,electric_bike,3607
2024-04-29,8,casual,classic_bike,208
2024-04-29,8,casual,electric_bike,637
2024-04-29,8,member,classic_bike,3055
2024-04-29,8,member,electric_bike,5018
2024-04-29,9,casual,classic_bike,362
2024-04-29,9,casual,electric_bike,670
2024-04-29,9,member,classic_bike,2266
2024-04-29,9,member,electric_bike,3593
2024-04-29,10,casual,classic_bike,394
2024-04-29,10,casual,electric_bike,631
2024-04-29,10,member,classic_bike,1605
2024-04-29,10,member,electric_bike,2554
2024-04-29,11,casual,classic_bike,572
2024-04-29,11,casual,electric_bike,883
2024-04-29,11,member,classic_bike,1670
2024-04-29,11,member,electric_bike,2630
2024-04-29,12,casual,classic_bike,594
2024-04-29,12,casual,electric_bike,1030
2024-04-29,12,member,classic_bike,1930
2024-04-29,12,member,electric_bike,3017
2024-04-29,13,casual,classic_bike,588
2024-04-29,13,casual,electric_bike,1141
2024-04-29,13,member,classic_bike,2074
2024-04-29,13,member,electric_bike,3207
2024-04-29,14,casual,classic_bike,617
2024-04-29,14,casual,electric_bike,1337
2024-04-29,14,member,classic_bike,1954
2024-04-29,14,member,electric_bike,3681
2024-04-29,15,casual,classic_bike,634
2024-04-29,15,casual,electric_bike,1552
2024-04-29,15,member,classic_bike,2247
2024-04-29,15,member,electric_bike,4187
2024-04-29,16,casual,classic_bike,660
2024-04-29,16,casual,electric_bike,1679
2024-04-29,16,member,classic_bike,2760
2024-04-29,16,member,electric_bike,5066
2024-04-29,17,casual,classic_bike,601
2024-04-29,17,casual,electric_bike,1520
2024-04-29,17,member,classic_bike,3205
2024-04-29,17,member,electric_bike,6082
2024-04-29,18,casual,classic_bike,704
2024-04-29,18,casual,electric_bike,1717
2024-04-29,18,member,classic_bike,3860
2024-04-29,18,member,electric_bike,6677
2024-04-29,19,casual,classic_bike,510
2024-04-29,19,casual,electric_bike,1236
2024-04-29,19,member,classic_bike,2609
2024-04-29,19,member,electric_bike,4626
2024-04-29,20,casual,classic_bike,357
2024-04-29,20,casual,electric_bike,989
2024-04-29,20,member,classic_bike,1848
2024-04-29,20,member,electric_bike,3472
2024-04-29,21,casual,classic_bike,233
2024-04-29,21,casual,electric_bike,721
2024-04-29,21,member,classic_bike,1172
2024-04-29,21,member,electric_bike,2621
2024-04-29,22,casual,classic_bike,165
2024-04-29,22,casual,electric_bike,559
2024-04-29,22,member,classic_bike,802
2024-04-29,22,member,electric_bike,1899
2024-04-29,23,casual,classic_bike,97
2024-04-29,23,casual,electric_bike,395
2024-04-29,23,member,classic_bike,427
2024-04-29,23,member,electric_bike,1132
2024-04-30,0,casual,classic_bike,60
2024-04-30,0,casual,electric_bike,259
2024-04-30,0,member,classic_bike,213
2024-04-30,0,member,electric_bike,630
2024-04-30,1,casual,classic_bike,19
2024-04-30,1,casual,electric_bike,147
2024-04-30,1,member,classic_bike,124
2024-04-30,1,member,electric_bike,301
2024-04-30,2,casual,classic_bike,13
2024-04-30,2,casual,electric_bike,79
2024-04-30,2,member,classic_bike,56
2024-04-30,2,member,electric_bike,189
2024-04-30,3,casual,classic_bike,4
2024-04-30,3,casual,electric_bike,42
2024-04-30,3,member,classic_bike,58
2024-04-30,3,member,electric_bike,131
2024-04-30,4,casual,classic_bike,15
2024-04-30,4,casual,electric_bike,47
2024-04-30,4,member,classic_bike,110
2024-04-30,4,member,electric_bike,166
2024-04-30,5,casual,classic_bike,26
2024-04-30,5,casual,electric_bike,101
2024-04-30,5,member,classic_bike,310
2024-04-30,5,member,electric_bike,632
2024-04-30,6,casual,classic_bike,51
2024-04-30,6,casual,electric_bike,229
2024-04-30,6,member,classic_bike,983
2024-04-30,6,member,electric_bike,2013
2024-04-30,7,casual,classic_bike,119
2024-04-30,7,casual,electric_bike,476
2024-04-30,7,member,classic_bike,1958
2024-04-30,7,member,electric_bike,3663
2024-04-30,8,casual,classic_bike,240
2024-04-30,8,casual,electric_bike,604
2024-04-30,8,member,classic_bike,3437
2024-04-30,8,member,electric_bike,5530
2024-04-30,9,casual,classic_bike,255
2024-04-30,9,casual,electric_bike,519
2024-04-30,9,member,classic_bike,2577
2024-04-30,9,member,electric_bike,3786
2024-04-30,10,casual,classic_bike,279
2024-04-30,10,casual,electric_bike,489
2024-04-30,10,member,classic_bike,1578
2024-04-30,10,member,electric_bike,2417
2024-04-30,11,casual,classic_bike,274
2024-04-30,11,casual,electric_bike,555
2024-04-30,11,member,classic_bike,1663
2024-04-30,11,member,electric_bike,2382
2024-04-30,12,casual,classic_bike,326
2024-04-30,12,casual,electric_bike,583
2024-04-30,12,member,classic_bike,1776
2024-04-30,12,member,electric_bike,2609
2024-04-30,13,casual,classic_bike,361
2024-04-30,13,casual,electric_bike,690
2024-04-30,13,member,classic_bike,1843
2024-04-30,13,member,electric_bike,2897
2024-04-30,14,casual,classic_bike,380
2024-04-30,14,casual,electric_bike,854
2024-04-30,14,member,classic_bike,1867
2024-04-30,14,member,electric_bike,3325
2024-04-30,15,casual,classic_bike,431
2024-04-30,15,casual,electric_bike,1061
2024-04-30,15,member,classic_bike,2027
2024-04-30,15,member,electric_bike,3917
2024-04-30,16,casual,classic_bike,470
2024-04-30,16,casual,electric_bike,1131
2024-04-30,16,member,classic_bike,2579
2024-04-30,16,member,electric_bike,4875
2024-04-30,17,casual,classic_bike,545
2024-04-30,17,casual,electric_bike,1488
2024-04-30,17,member,classic_bike,4217
2024-04-30,17,member,electric_bike,7516
2024-04-30,18,casual,classic_bike,550
2024-04-30,18,casual,electric_bike,1594
2024-04-30,18,member,classic_bike,4151
2024-04-30,18,member,electric_bike,6976
2024-04-30,19,casual,classic_bike,368
2024-04-30,19,casual,electric_bike,1061
2024-04-30,19,member,classic_bike,2686
2024-04-30,19,member,electric_bike,4757
2024-04-30,20,casual,classic_bike,191
2024-04-30,20,casual,electric_bike,642
2024-04-30,20,member,classic_bike,1605
2024-04-30,20,member,electric_bike,3101
2024-04-30,21,casual,classic_bike,130
2024-04-30,21,casual,electric_bike,469
2024-04-30,21,member,classic_bike,1148
2024-04-30,21,member,electric_bike,2366
2024-04-30,22,casual,classic_bike,68
2024-04-30,22,casual,electric_bike,339
2024-04-30,22,member,classic_bike,629
2024-04-30,22,member,electric_bike,1553
2024-04-30,23,casual,classic_bike,33
2024-04-30,23,casual,electric_bike,177
2024-04-30,23,member,classic_bike,285
2024-04-30,23,member,electric_bike,775
2024-05-01,0,casual,classic_bike,28
2024-05-01,0,casual,electric_bike,159
2024-05-01,0,member,classic_bike,190
2024-05-01,0,member,electric_bike,494
2024-05-01,1,casual,classic_bike,24
2024-05-01,1,casual,electric_bike,84
2024-05-01,1,member,classic_bike,75
2024-05-01,1,member,electric_bike,232
2024-05-01,2,casual,classic_bike,12
2024-05-01,2,casual,electric_bike,60
2024-05-01,2,member,classic_bike,45
2024-05-01,2,member,electric_bike,133
2024-05-01,3,casual,classic_bike,8
2024-05-01,3,casual,electric_bike,42
2024-05-01,3,member,classic_bike,34
2024-05-01,3,member,electric_bike,94
2024-05-01,4,casual,classic_bike,8
2024-05-01,4,casual,electric_bike,47
2024-05-01,4,member,classic_bike,71
2024-05-01,4,member,electric_bike,132
2024-05-01,5,casual,classic_bike,17
2024-05-01,5,casual,electric_bike,96
2024-05-01,5,member,classic_bike,277
2024-05-01,5,member,electric_bike,653
2024-05-01,6,casual,classic_bike,65
2024-05-01,6,casual,electric_bike,252
2024-05-01,6,member,classic_bike,980
2024-05-01,6,member,electric_bike,2077
2024-05-01,7,casual,classic_bike,140
2024-05-01,7,casual,electric_bike,572
2024-05-01,7,member,classic_bike,2170
2024-05-01,7,member,electric_bike,4568
2024-05-01,8,casual,classic_bike,254
2024-05-01,8,casual,electric_bike,818
2024-05-01,8,member,classic_bike,3798
2024-05-01,8,member,electric_bike,6546
2024-05-01,9,casual,classic_bike,307
2024-05-01,9,casual,electric_bike,641
2024-05-01,9,member,classic_bike,2796
2024-05-01,9,member,electric_bike,4334
2024-05-01,10,casual,classic_bike,339
2024-05-01,10,casual,electric_bike,602
2024-05-01,10,member,classic_bike,1898
2024-05-01,10,member,electric_bike,2750
2024-05-01,11,casual,classic_bike,415
2024-05-01,11,casual,electric_bike,693
2024-05-01,11,member,classic_bike,1955
2024-05-01,11,member,electric_bike,2781
2024-05-01,12,casual,classic_bike,440
2024-05-01,12,casual,electric_bike,850
2024-05-01,12,member,classic_bike,2056
2024-05-01,12,member,electric_bike,3167
2024-05-01,13,casual,classic_bike,475
2024-05-01,13,casual,electric_bike,876
2024-05-01,13,member,classic_bike,2211
2024-05-01,13,member,electric_bike,3472
2024-05-01,14,casual,classic_bike,483
2024-05-01,14,casual,electric_bike,1162
2024-05-01,14,member,classic_bike,2283
2024-05-01,14,member,electric_bike,4179
2024-05-01,15,casual,classic_bike,542
2024-05-01,15,casual,electric_bike,1414
2024-05-01,15,member,classic_bike,2510
2024-05-01,15,member,electric_bike,4738
2024-05-01,16,casual,classic_bike,547
2024-05-01,16,casual,electric_bike,1536
2024-05-01,16,member,classic_bike,2997
2024-05-01,16,member,electric_bike,5679
2024-05-01,17,casual,classic_bike,717
2024-05-01,17,casual,electric_bike,1806
2024-05-01,17,member,classic_bike,4572
2024-05-01,17,member,electric_bike,8118
2024-05-01,18,casual,classic_bike,748
2024-05-01,18,casual,electric_bike,1786
2024-05-01,18,member,classic_bike,4480
2024-05-01,18,member,electric_bike,7646
2024-05-01,19,casual,classic_bike,503
2024-05-01,19,casual,electric_bike,1201
2024-05-01,19,member,classic_bike,3076
2024-05-01,19,member,electric_bike,5240
2024-05-01,20,casual,classic_bike,282
2024-05-01,20,casual,electric_bike,830
2024-05-01,20,member,classic_bike,1865
2024-05-01,20,member,electric_bike,3531
2024-05-01,21,casual,classic_bike,196
2024-05-01,21,casual,electric_bike,610
2024-05-01,21,member,classic_bike,1228
2024-05-01,21,member,electric_bike,2512
2024-05-01,22,casual,classic_bike,139
2024-05-01,22,casual,electric_bike,502
2024-05-01,22,member,classic_bike,958
2024-05-01,22,member,electric_bike,2040
2024-05-01,23,casual,classic_bike,98
2024-05-01,23,casual,electric_bike,320
2024-05-01,23,member,classic_bike,486
2024-05-01,23,member,electric_bike,1218
2024-05-02,0,casual,classic_bike,51
2024-05-02,0,casual,electric_bike,204
2024-05-02,0,member,classic_bike,258
2024-05-02,0,member,electric_bike,653
2024-05-02,1,casual,classic_bike,34
2024-05-02,1,casual,electric_bike,161
2024-05-02,1,member,classic_bike,98
2024-05-02,1,member,electric_bike,319
2024-05-02,2,casual,classic_bike,17
2024-05-02,2,casual,electric_bike,79
2024-05-02,2,member,classic_bike,71
2024-05-02,2,member,electric_bike,200
2024-05-02,3,casual,classic_bike,8
2024-05-02,3,casual,electric_bike,60
2024-05-02,3,member,classic_bike,47
2024-05-02,3,member,electric_bike,130
2024-05-02,4,casual,classic_bike,12
2024-05-02,4,casual,electric_bike,43
2024-05-02,4,member,classic_bike,87
2024-05-02,4,member,electric_bike,183
2024-05-02,5,casual,classic_bike,14
2024-05-02,5,casual,electric_bike,93
2024-05-02,5,member,classic_bike,264
2024-05-02,5,member,electric_bike,660
2024-05-02,6,casual,classic_bike,62
2024-05-02,6,casual,electric_bike,260
2024-05-02,6,member,classic_bike,931
2024-05-02,6,member,electric_bike,1971
2024-05-02,7,casual,classic_bike,130
2024-05-02,7,casual,electric_bike,546
2024-05-02,7,member,classic_bike,2132
2024-05-02,7,member,electric_bike,4307
2024-05-02,8,casual,classic_bike,230
2024-05-02,8,casual,electric_bike,759
2024-05-02,8,member,classic_bike,3605
2024-05-02,8,member,electric_bike,6365
2024-05-02,9,casual,classic_bike,289
2024-05-02,9,casual,electric_bike,625
2024-05-02,9,member,classic_bike,2720
2024-05-02,9,member,electric_bike,4370
2024-05-02,10,casual,classic_bike,332
2024-05-02,10,casual,electric_bike,544
2024-05-02,10,member,classic_bike,1836
2024-05-02,10,member,electric_bike,2786
2024-05-02,11,casual,classic_bike,448
2024-05-02,11,casual,electric_bike,708
2024-05-02,11,member,classic_bike,1697
2024-05-02,11,member,electric_bike,2709
2024-05-02,12,casual,classic_bike,545
2024-05-02,12,casual,electric_bike,872
2024-05-02,12,member,classic_bike,2037
2024-05-02,12,member,electric_bike,3241
2024-05-02,13,casual,classic_bike,517
2024-05-02,13,casual,electric_bike,1026
2024-05-02,13,member,classic_bike,2079
2024-05-02,13,member,electric_bike,3415
2024-05-02,14,casual,classic_bike,636
2024-05-02,14,casual,electric_bike,1431
2024-05-02,14,member,classic_bike,2341
2024-05-02,14,member,electric_bike,4207
2024-05-02,15,casual,classic_bike,721
2024-05-02,15,casual,electric_bike,1682
2024-05-02,15,member,classic_bike,2631
2024-05-02,15,member,electric_bike,5142
2024-05-02,16,casual,classic_bike,729
2024-05-02,16,casual,electric_bike,1794
2024-05-02,16,member,classic_bike,3156
2024-05-02,16,member,electric_bike,5988
2024-05-02,17,casual,classic_bike,959
2024-05-02,17,casual,electric_bike,2138
2024-05-02,17,member,classic_bike,4876
2024-05-02,17,member,electric_bike,8498
2024-05-02,18,casual,classic_bike,964
2024-05-02,18,casual,electric_bike,2211
2024-05-02,18,member,classic_bike,4655
2024-05-02,18,member,electric_bike,7891
2024-05-02,19,casual,classic_bike,775
2024-05-02,19,casual,electric_bike,1830
2024-05-02,19,member,classic_bike,3366
2024-05-02,19,member,electric_bike,5915
2024-05-02,20,casual,classic_bike,455
